Patient	Type	Gene	Cytoband	Samples with alteration in altered group	Samples with alteration in unaltered group	Log Ratio	p-Value	q-Value	Tendency
P-0002620	MUT	MSI1	12q24.31	2 (0.86%)	0 (0.00%)	>10	8.828E-03	0.0155	Co-occurrence
P-0002620	MUT	PDPK1	16p13.3	2 (0.86%)	0 (0.00%)	>10	8.828E-03	0.0155	Co-occurrence
P-0002620	MUT	RAB35	12q24.23	2 (0.86%)	0 (0.00%)	>10	8.828E-03	0.0155	Co-occurrence
P-0002620	MUT	RRAS	19q13.33	2 (0.86%)	0 (0.00%)	>10	8.828E-03	0.0155	Co-occurrence
P-0002620	MUT	SDHD	11q23.1	2 (0.86%)	0 (0.00%)	>10	8.828E-03	0.0155	Co-occurrence
P-0002620	MUT	WWTR1	3q25.1	2 (0.86%)	0 (0.00%)	>10	8.828E-03	0.0155	Co-occurrence
P-0002620	MUT	PPM1D	17q23.2	5 (2.15%)	10 (0.45%)	2.27	9.668E-03	0.017	Co-occurrence
P-0002620	MUT	CBLB	3q13.11	4 (1.72%)	6 (0.27%)	2.68	0.0102	0.0178	Co-occurrence
P-0002620	MUT	FBXW7	4q31.3	7 (3.00%)	20 (0.89%)	1.75	0.0103	0.018	Co-occurrence
P-0002620	MUT	MALT1	18q21.32	3 (1.29%)	3 (0.13%)	3.27	0.0133	0.0229	Co-occurrence
P-0002620	MUT	MAX	14q23.3	3 (1.29%)	3 (0.13%)	3.27	0.0133	0.0229	Co-occurrence
P-0002620	MUT	NFKBIA	14q13.2	3 (1.29%)	3 (0.13%)	3.27	0.0133	0.0229	Co-occurrence
P-0002620	MUT	PRKD1	14q12	3 (1.29%)	3 (0.13%)	3.27	0.0133	0.0229	Co-occurrence
P-0002620	MUT	SLC34A2	4p15.2	3 (1.29%)	3 (0.13%)	3.27	0.0133	0.0229	Co-occurrence
P-0002620	MUT	SPOP	17q21.33	3 (1.29%)	3 (0.13%)	3.27	0.0133	0.0229	Co-occurrence
P-0002620	MUT	ETV4	17q21.31	4 (1.72%)	7 (0.31%)	2.46	0.0148	0.0254	Co-occurrence
P-0002620	MUT	MDM2	12q15	4 (1.72%)	7 (0.31%)	2.46	0.0148	0.0254	Co-occurrence
P-0002620	MUT	MLH3	14q24.3	4 (1.72%)	7 (0.31%)	2.46	0.0148	0.0254	Co-occurrence
P-0002620	MUT	EGFR	7p11.2	46 (19.74%)	316 (14.09%)	0.49	0.0153	0.0261	Co-occurrence
P-0002620	MUT	CDKN2C	1p32.3	7 (3.00%)	22 (0.98%)	1.61	0.0154	0.0261	Co-occurrence
P-0002620	MUT	KRAS	12p12.1	8 (3.43%)	28 (1.25%)	1.46	0.0162	0.0274	Co-occurrence
P-0002620	MUT	FANCM	14q21.2	5 (2.15%)	12 (0.54%)	2	0.017	0.0288	Co-occurrence
P-0002620	MUT	MYBL1	8q13.1	5 (2.15%)	12 (0.54%)	2	0.017	0.0288	Co-occurrence
P-0002620	MUT	USP28	11q23.2	4 (1.72%)	8 (0.36%)	2.27	0.0207	0.0348	Co-occurrence
P-0002620	MUT	CASP8	2q33.1	3 (1.29%)	4 (0.18%)	2.85	0.0217	0.036	Co-occurrence
P-0002620	MUT	CD274	9p24.1	3 (1.29%)	4 (0.18%)	2.85	0.0217	0.036	Co-occurrence
P-0002620	MUT	MUS81	11q13.1	3 (1.29%)	4 (0.18%)	2.85	0.0217	0.036	Co-occurrence
P-0002620	MUT	PML	15q24.1	3 (1.29%)	4 (0.18%)	2.85	0.0217	0.036	Co-occurrence
P-0002620	MUT	PTK2	8q24.3	3 (1.29%)	4 (0.18%)	2.85	0.0217	0.036	Co-occurrence
P-0002620	MUT	BCL10	1p22.3	2 (0.86%)	1 (0.04%)	4.27	0.0248	0.0395	Co-occurrence
P-0002620	MUT	CCNQ	Xq28	2 (0.86%)	1 (0.04%)	4.27	0.0248	0.0395	Co-occurrence
P-0002620	MUT	DCUN1D1	3q26.33	2 (0.86%)	1 (0.04%)	4.27	0.0248	0.0395	Co-occurrence
P-0002620	MUT	DDB1	11q12.2	2 (0.86%)	1 (0.04%)	4.27	0.0248	0.0395	Co-occurrence
P-0002620	MUT	DNAJB1	19p13.12	2 (0.86%)	1 (0.04%)	4.27	0.0248	0.0395	Co-occurrence
P-0002620	MUT	EZH1	17q21.2	2 (0.86%)	1 (0.04%)	4.27	0.0248	0.0395	Co-occurrence
P-0002620	MUT	HIST1H2BD	6p22.2	2 (0.86%)	1 (0.04%)	4.27	0.0248	0.0395	Co-occurrence
P-0002620	MUT	IKZF3	17q12-q21.1	2 (0.86%)	1 (0.04%)	4.27	0.0248	0.0395	Co-occurrence
P-0002620	MUT	IL10	1q32.1	2 (0.86%)	1 (0.04%)	4.27	0.0248	0.0395	Co-occurrence
P-0002620	MUT	INPPL1	11q13.4	2 (0.86%)	1 (0.04%)	4.27	0.0248	0.0395	Co-occurrence
P-0002620	MUT	KLF2	19p13.11	2 (0.86%)	1 (0.04%)	4.27	0.0248	0.0395	Co-occurrence
P-0002620	MUT	KLF4	9q31.2	2 (0.86%)	1 (0.04%)	4.27	0.0248	0.0395	Co-occurrence
P-0002620	MUT	LIG4	13q33.3	2 (0.86%)	1 (0.04%)	4.27	0.0248	0.0395	Co-occurrence
P-0002620	MUT	NUTM1	15q14	2 (0.86%)	1 (0.04%)	4.27	0.0248	0.0395	Co-occurrence
P-0002620	MUT	RHOA	3p21.31	2 (0.86%)	1 (0.04%)	4.27	0.0248	0.0395	Co-occurrence
P-0002620	MUT	RSPO2	8q23.1	2 (0.86%)	1 (0.04%)	4.27	0.0248	0.0395	Co-occurrence
P-0002620	MUT	TOPBP1	3q22.1	2 (0.86%)	1 (0.04%)	4.27	0.0248	0.0395	Co-occurrence
P-0002620	MUT	TRAF3	14q32.32	2 (0.86%)	1 (0.04%)	4.27	0.0248	0.0395	Co-occurrence
P-0002620	MUT	XRCC1	19q13.31	2 (0.86%)	1 (0.04%)	4.27	0.0248	0.0395	Co-occurrence
P-0002620	MUT	FANCE	6p21.31	4 (1.72%)	9 (0.40%)	2.1	0.0277	0.0439	Co-occurrence
P-0002452	MUT	CIC	19q13.2	106 (14.50%)	22 (1.26%)	3.52	8.65E-38	5.99E-35	Co-occurrence
P-0002452	MUT	EGFR	7p11.2	203 (27.77%)	159 (9.12%)	1.61	1.65E-30	5.73E-28	Co-occurrence
P-0002452	MUT	ATRX	Xq21.1	39 (5.34%)	336 (19.27%)	-1.85	1.21E-21	2.8E-19	Mutual exclusivity
P-0002452	MUT	PTEN	10q23.31	247 (33.79%)	288 (16.51%)	1.03	1.52E-20	2.63E-18	Co-occurrence
P-0002452	MUT	TP53	17p13.1	179 (24.49%)	727 (41.69%)	-0.77	1.1E-16	1.52E-14	Mutual exclusivity
P-0002452	MUT	IDH1	2q34	128 (17.51%)	573 (32.86%)	-0.91	1.28E-15	1.48E-13	Mutual exclusivity
P-0002452	MUT	FUBP1	1p31.1	35 (4.79%)	4 (0.23%)	4.38	3.62E-15	3.58E-13	Co-occurrence
P-0002452	MUT	PIK3R1	5q13.1	82 (11.22%)	77 (4.42%)	1.35	1.4E-09	1.21E-07	Co-occurrence
P-0002452	MUT	PTPRT	20q12-q13.11	19 (2.60%)	4 (0.23%)	3.5	1.79E-07	1.376E-05	Co-occurrence
P-0002452	MUT	GRIN2A	16p13.2	20 (2.74%)	5 (0.29%)	3.25	2.25E-07	1.558E-05	Co-occurrence
P-0002452	MUT	PIK3CG	7q22.3	21 (2.87%)	6 (0.34%)	3.06	2.62E-07	1.651E-05	Co-occurrence
P-0002452	MUT	ZFHX3	16q22.2-q22.3	17 (2.33%)	3 (0.17%)	3.76	3.78E-07	2.185E-05	Co-occurrence
P-0002452	MUT	KMT2C	7q36.1	22 (3.01%)	8 (0.46%)	2.71	7.84E-07	4.18E-05	Co-occurrence
P-0002452	MUT	NOTCH3	19p13.12	25 (3.42%)	12 (0.69%)	2.31	1.624E-06	8.039E-05	Co-occurrence
P-0002452	MUT	IRS1	2q36.3	14 (1.92%)	2 (0.11%)	4.06	2.239E-06	1.035E-04	Co-occurrence
P-0002452	MUT	FGFR3	4p16.3	31 (4.24%)	20 (1.15%)	1.89	2.821E-06	1.222E-04	Co-occurrence
P-0002452	MUT	IRS2	13q34	12 (1.64%)	1 (0.06%)	4.84	3.925E-06	1.552E-04	Co-occurrence
P-0002452	MUT	NOTCH4	6p21.32	16 (2.19%)	4 (0.23%)	3.25	4.032E-06	1.552E-04	Co-occurrence
P-0002452	MUT	RB1	13q14.2	76 (10.40%)	94 (5.39%)	0.95	1.001E-05	3.65E-04	Co-occurrence
P-0002452	MUT	HGF	7q21.11	11 (1.50%)	1 (0.06%)	4.71	1.243E-05	4.241E-04	Co-occurrence
P-0002452	MUT	SPEN	1p36.21-p36.13	17 (2.33%)	6 (0.34%)	2.76	1.285E-05	4.241E-04	Co-occurrence
P-0002452	MUT	DOT1L	19p13.3	12 (1.64%)	2 (0.11%)	3.84	2.009E-05	5.852E-04	Co-occurrence
P-0002452	MUT	TBX3	12q24.21	12 (1.64%)	2 (0.11%)	3.84	2.009E-05	5.852E-04	Co-occurrence
P-0002452	MUT	MED12	Xq13.1	22 (3.01%)	12 (0.69%)	2.13	2.027E-05	5.852E-04	Co-occurrence
P-0002452	MUT	H3F3B	17q25.1	3 (0.41%)	48 (2.75%)	-2.75	2.725E-05	7.535E-04	Mutual exclusivity
P-0002452	MUT	STAG2	Xq25	41 (5.61%)	39 (2.24%)	1.33	2.827E-05	7.535E-04	Co-occurrence
P-0002452	MUT	TP63	3q28	14 (1.92%)	4 (0.23%)	3.06	3.035E-05	7.789E-04	Co-occurrence
P-0002452	MUT	NF1	17q11.2	119 (16.28%)	181 (10.38%)	0.65	3.929E-05	9.723E-04	Co-occurrence
P-0002452	MUT	NOTCH1	9q34.3	59 (8.07%)	70 (4.01%)	1.01	4.668E-05	1.116E-03	Co-occurrence
P-0002452	MUT	DNMT3B	20q11.21	8 (1.09%)	0 (0.00%)	>10	5.636E-05	1.302E-03	Co-occurrence
P-0002452	MUT	MGA	15q15.1	18 (2.46%)	9 (0.52%)	2.25	6.612E-05	1.478E-03	Co-occurrence
P-0002452	MUT	MAP3K13	3q27.2	12 (1.64%)	3 (0.17%)	3.25	7.347E-05	1.591E-03	Co-occurrence
P-0002452	MUT	CARD11	7p22.2	25 (3.42%)	18 (1.03%)	1.73	7.691E-05	1.615E-03	Co-occurrence
P-0002452	MUT	NCOR1	17p12-p11.2	13 (1.78%)	4 (0.23%)	2.95	8.148E-05	1.62E-03	Co-occurrence
P-0002452	MUT	EZH2	7q36.1	15 (2.05%)	6 (0.34%)	2.58	8.277E-05	1.62E-03	Co-occurrence
P-0002452	MUT	PIK3C2G	12p12.3	14 (1.92%)	5 (0.29%)	2.74	8.414E-05	1.62E-03	Co-occurrence
P-0002452	MUT	IRF4	6p25.3	9 (1.23%)	1 (0.06%)	4.42	1.216E-04	2.278E-03	Co-occurrence
P-0002452	MUT	PBRM1	3p21.1	24 (3.28%)	18 (1.03%)	1.67	1.562E-04	2.793E-03	Co-occurrence
P-0002452	MUT	NSD1	5q35.3	21 (2.87%)	14 (0.80%)	1.84	1.572E-04	2.793E-03	Co-occurrence
P-0002452	MUT	EPHB1	3q22.2	10 (1.37%)	2 (0.11%)	3.58	1.722E-04	2.841E-03	Co-occurrence
P-0002452	MUT	IKBKE	1q32.1	10 (1.37%)	2 (0.11%)	3.58	1.722E-04	2.841E-03	Co-occurrence
P-0002452	MUT	MST1R	3p21.31	10 (1.37%)	2 (0.11%)	3.58	1.722E-04	2.841E-03	Co-occurrence
P-0002452	MUT	INPP4A	2q11.2	7 (0.96%)	0 (0.00%)	>10	1.921E-04	3.096E-03	Co-occurrence
P-0002452	MUT	TP53BP1	15q15.3	11 (1.50%)	3 (0.17%)	3.13	2.026E-04	3.153E-03	Co-occurrence
P-0002452	MUT	HIST1H3F	6p22.2	14 (1.92%)	6 (0.34%)	2.48	2.048E-04	3.153E-03	Co-occurrence
P-0002452	MUT	AXIN1	16p13.3	8 (1.09%)	1 (0.06%)	4.25	3.751E-04	5.531E-03	Co-occurrence
P-0002452	MUT	NUP93	16q13	8 (1.09%)	1 (0.06%)	4.25	3.751E-04	5.531E-03	Co-occurrence
P-0002452	MUT	AMER1	Xq11.2	9 (1.23%)	2 (0.11%)	3.42	4.933E-04	6.704E-03	Co-occurrence
P-0002452	MUT	PARP1	1q42.12	9 (1.23%)	2 (0.11%)	3.42	4.933E-04	6.704E-03	Co-occurrence
P-0002452	MUT	PIK3CB	3q22.3	9 (1.23%)	2 (0.11%)	3.42	4.933E-04	6.704E-03	Co-occurrence
P-0002452	MUT	STAT5B	17q21.2	9 (1.23%)	2 (0.11%)	3.42	4.933E-04	6.704E-03	Co-occurrence
P-0002452	MUT	AXIN2	17q24.1	12 (1.64%)	5 (0.29%)	2.52	5.36E-04	6.779E-03	Co-occurrence
P-0002452	MUT	PGR	11q22.1	10 (1.37%)	3 (0.17%)	2.99	5.488E-04	6.779E-03	Co-occurrence
P-0002452	MUT	PIK3CD	1p36.22	10 (1.37%)	3 (0.17%)	2.99	5.488E-04	6.779E-03	Co-occurrence
P-0002452	MUT	ANKRD11	16q24.3	11 (1.50%)	4 (0.23%)	2.71	5.575E-04	6.779E-03	Co-occurrence
P-0002452	MUT	CDK12	17q12	11 (1.50%)	4 (0.23%)	2.71	5.575E-04	6.779E-03	Co-occurrence
P-0002452	MUT	INSR	19p13.2	11 (1.50%)	4 (0.23%)	2.71	5.575E-04	6.779E-03	Co-occurrence
P-0002452	MUT	PIK3CA	3q26.32	103 (14.09%)	165 (9.46%)	0.57	5.829E-04	6.964E-03	Co-occurrence
P-0002452	MUT	PIM1	6p21.2	6 (0.82%)	0 (0.00%)	>10	6.543E-04	7.494E-03	Co-occurrence
P-0002452	MUT	XIAP	Xq25	6 (0.82%)	0 (0.00%)	>10	6.543E-04	7.494E-03	Co-occurrence
P-0002452	MUT	KDM5A	12p13.33	16 (2.19%)	10 (0.57%)	1.93	6.597E-04	7.494E-03	Co-occurrence
P-0002452	MUT	FAT1	4q35.2	27 (3.69%)	26 (1.49%)	1.31	7.647E-04	8.469E-03	Co-occurrence
P-0002452	MUT	PLCG2	16q23.3	15 (2.05%)	9 (0.52%)	1.99	7.746E-04	8.469E-03	Co-occurrence
P-0002452	MUT	SMARCA4	19p13.2	32 (4.38%)	34 (1.95%)	1.17	7.822E-04	8.469E-03	Co-occurrence
P-0002452	MUT	RUNX1	21q22.12	14 (1.92%)	8 (0.46%)	2.06	9.02E-04	9.617E-03	Co-occurrence
P-0002452	MUT	CUX1	7q22.1	2 (0.27%)	31 (1.78%)	-2.7	9.767E-04	0.0103	Mutual exclusivity
P-0002452	MUT	PTPRS	19p13.3	13 (1.78%)	7 (0.40%)	2.15	1.039E-03	0.0107	Co-occurrence
P-0002452	MUT	BTK	Xq22.1	7 (0.96%)	1 (0.06%)	4.06	1.142E-03	0.0108	Co-occurrence
P-0002452	MUT	CD79B	17q23.3	7 (0.96%)	1 (0.06%)	4.06	1.142E-03	0.0108	Co-occurrence
P-0002452	MUT	ERRFI1	1p36.23	7 (0.96%)	1 (0.06%)	4.06	1.142E-03	0.0108	Co-occurrence
P-0002452	MUT	SHQ1	3p13	7 (0.96%)	1 (0.06%)	4.06	1.142E-03	0.0108	Co-occurrence
P-0002452	MUT	TEK	9p21.2	7 (0.96%)	1 (0.06%)	4.06	1.142E-03	0.0108	Co-occurrence
P-0002452	MUT	TRAF2	9q34.3	7 (0.96%)	1 (0.06%)	4.06	1.142E-03	0.0108	Co-occurrence
P-0002452	MUT	ASXL2	2p23.3	11 (1.50%)	5 (0.29%)	2.39	1.311E-03	0.0123	Co-occurrence
P-0002452	MUT	CDK8	13q12.13	8 (1.09%)	2 (0.11%)	3.25	1.389E-03	0.0125	Co-occurrence
P-0002452	MUT	PPP2R1A	19q13.41	8 (1.09%)	2 (0.11%)	3.25	1.389E-03	0.0125	Co-occurrence
P-0002452	MUT	SMARCD1	12q13.12	8 (1.09%)	2 (0.11%)	3.25	1.389E-03	0.0125	Co-occurrence
P-0002452	MUT	DNMT1	19p13.2	10 (1.37%)	4 (0.23%)	2.58	1.414E-03	0.0125	Co-occurrence
P-0002452	MUT	ACVR1	2q24.1	9 (1.23%)	3 (0.17%)	2.84	1.457E-03	0.0125	Co-occurrence
P-0002452	MUT	ARID5B	10q21.2	9 (1.23%)	3 (0.17%)	2.84	1.457E-03	0.0125	Co-occurrence
P-0002452	MUT	LATS1	6q25.1	9 (1.23%)	3 (0.17%)	2.84	1.457E-03	0.0125	Co-occurrence
P-0002452	MUT	ERG	21q22.2	16 (2.19%)	12 (0.69%)	1.67	2.012E-03	0.017	Co-occurrence
P-0002452	MUT	DNMT3A	2p23.3	24 (3.28%)	24 (1.38%)	1.25	2.079E-03	0.0174	Co-occurrence
P-0002452	MUT	BRAF	7q34	24 (3.28%)	106 (6.08%)	-0.89	2.217E-03	0.0179	Mutual exclusivity
P-0002452	MUT	GSK3B	3q13.33	5 (0.68%)	0 (0.00%)	>10	2.226E-03	0.0179	Co-occurrence
P-0002452	MUT	TNFRSF14	1p36.32	5 (0.68%)	0 (0.00%)	>10	2.226E-03	0.0179	Co-occurrence
P-0002452	MUT	RAD21	8q24.11	12 (1.64%)	7 (0.40%)	2.03	2.349E-03	0.0186	Co-occurrence
P-0002452	MUT	ARID1B	6q25.3	34 (4.65%)	41 (2.35%)	0.98	2.362E-03	0.0186	Co-occurrence
P-0002452	MUT	ATR	3q23	15 (2.05%)	11 (0.63%)	1.7	2.444E-03	0.019	Co-occurrence
P-0002452	MUT	MRE11	11q21	10 (1.37%)	5 (0.29%)	2.25	3.128E-03	0.0241	Co-occurrence
P-0002452	MUT	CDKN2C	1p32.3	16 (2.19%)	13 (0.75%)	1.55	3.279E-03	0.025	Co-occurrence
P-0002452	MUT	FLT1	13q12.3	25 (3.42%)	27 (1.55%)	1.14	3.358E-03	0.0253	Co-occurrence
P-0002452	MUT	INPP4B	4q31.21	9 (1.23%)	4 (0.23%)	2.42	3.5E-03	0.0258	Co-occurrence
P-0002452	MUT	SOX17	8q11.23	9 (1.23%)	4 (0.23%)	2.42	3.5E-03	0.0258	Co-occurrence
P-0002452	MUT	RAD50	5q31.1	13 (1.78%)	9 (0.52%)	1.78	3.581E-03	0.0259	Co-occurrence
P-0002452	MUT	RPTOR	17q25.3	13 (1.78%)	9 (0.52%)	1.78	3.581E-03	0.0259	Co-occurrence
P-0002452	MUT	FLT4	5q35.3	29 (3.97%)	34 (1.95%)	1.02	3.691E-03	0.0262	Co-occurrence
P-0002452	MUT	FOXA1	14q21.1	8 (1.09%)	3 (0.17%)	2.67	3.777E-03	0.0262	Co-occurrence
P-0002452	MUT	LATS2	13q12.11	8 (1.09%)	3 (0.17%)	2.67	3.777E-03	0.0262	Co-occurrence
P-0002452	MUT	MDC1	6p21.33	8 (1.09%)	3 (0.17%)	2.67	3.777E-03	0.0262	Co-occurrence
P-0002452	MUT	TGFBR2	3p24.1	7 (0.96%)	2 (0.11%)	3.06	3.828E-03	0.0263	Co-occurrence
P-0002452	MUT	POLE	12q24.33	18 (2.46%)	17 (0.97%)	1.34	5.069E-03	0.0344	Co-occurrence
P-0002452	MUT	IDH2	15q26.1	27 (3.69%)	32 (1.83%)	1.01	5.545E-03	0.0373	Co-occurrence
P-0002452	MUT	PTPN11	12q24.13	43 (5.88%)	61 (3.50%)	0.75	5.776E-03	0.0385	Co-occurrence
P-0002452	MUT	AKT2	19q13.2	10 (1.37%)	6 (0.34%)	1.99	6.156E-03	0.0406	Co-occurrence
P-0002452	MUT	EED	11q14.2	9 (1.23%)	5 (0.29%)	2.1	7.255E-03	0.0468	Co-occurrence
P-0002452	MUT	RBM10	Xp11.3	9 (1.23%)	5 (0.29%)	2.1	7.255E-03	0.0468	Co-occurrence
P-0002452	MUT	KDM5C	Xp11.22	12 (1.64%)	9 (0.52%)	1.67	7.401E-03	0.0468	Co-occurrence
P-0002452	MUT	CSDE1	1p13.2	4 (0.55%)	0 (0.00%)	>10	7.566E-03	0.0468	Co-occurrence
P-0002452	MUT	CYSLTR2	13q14.2	4 (0.55%)	0 (0.00%)	>10	7.566E-03	0.0468	Co-occurrence
P-0002452	MUT	FYN	6q21	4 (0.55%)	0 (0.00%)	>10	7.566E-03	0.0468	Co-occurrence
P-0002452	MUT	ZNRF3	22q12.1	4 (0.55%)	0 (0.00%)	>10	7.566E-03	0.0468	Co-occurrence
P-0002452	DEL	CDKN2B	9p21.3	320 (43.78%)	260 (14.91%)	1.55	1.09E-50	3.15E-48	Co-occurrence
P-0002452	DEL	CDKN2A	9p21.3	333 (45.55%)	288 (16.51%)	1.46	2.53E-49	3.67E-47	Co-occurrence
P-0002452	DEL	GATA3	10p14	31 (4.24%)	3 (0.17%)	4.62	5.44E-14	5.26E-12	Co-occurrence
P-0002452	DEL	ARID5B	10q21.2	35 (4.79%)	9 (0.52%)	3.21	6.14E-12	4.45E-10	Co-occurrence
P-0002452	DEL	PTEN	10q23.31	59 (8.07%)	44 (2.52%)	1.68	1.94E-09	1.13E-07	Co-occurrence
P-0002452	DEL	ERRFI1	1p36.23	18 (2.46%)	2 (0.11%)	4.42	2.52E-08	1.217E-06	Co-occurrence
P-0002452	DEL	PIK3CD	1p36.22	16 (2.19%)	1 (0.06%)	5.25	3.68E-08	1.526E-06	Co-occurrence
P-0002452	DEL	TEK	9p21.2	19 (2.60%)	4 (0.23%)	3.5	1.79E-07	6.48E-06	Co-occurrence
P-0002452	DEL	TNFRSF14	1p36.32	10 (1.37%)	1 (0.06%)	4.58	3.905E-05	1.258E-03	Co-occurrence
P-0002452	DEL	NF1	17q11.2	12 (1.64%)	4 (0.23%)	2.84	2.152E-04	6.239E-03	Co-occurrence
P-0002452	DEL	SUFU	10q24.32	6 (0.82%)	0 (0.00%)	>10	6.543E-04	0.0172	Co-occurrence
P-0002452	DEL	RAC2	22q13.1	8 (1.09%)	2 (0.11%)	3.25	1.389E-03	0.0315	Co-occurrence
P-0002452	DEL	TP53	17p13.1	10 (1.37%)	4 (0.23%)	2.58	1.414E-03	0.0315	Co-occurrence
P-0002452	DEL	ID3	1p36.12	5 (0.68%)	0 (0.00%)	>10	2.226E-03	0.0426	Co-occurrence
P-0002452	DEL	MTOR	1p36.22	5 (0.68%)	0 (0.00%)	>10	2.226E-03	0.0426	Co-occurrence
P-0002452	DEL	RET	10q11.21	12 (1.64%)	7 (0.40%)	2.03	2.349E-03	0.0426	Co-occurrence
P-0002452	AMP	EGFR	7p11.2	242 (33.11%)	184 (10.55%)	1.65	9.6E-39	2.28E-36	Co-occurrence
P-0002452	AMP	CDK4	12q14.1	84 (11.49%)	88 (5.05%)	1.19	2.56E-08	2.118E-06	Co-occurrence
P-0002452	AMP	SOX2	3q26.33	41 (5.61%)	25 (1.43%)	1.97	2.68E-08	2.118E-06	Co-occurrence
P-0002452	AMP	MDM2	12q15	49 (6.70%)	43 (2.47%)	1.44	1.047E-06	6.205E-05	Co-occurrence
P-0002452	AMP	GLI1	12q13.3	34 (4.65%)	27 (1.55%)	1.59	1.381E-05	6.548E-04	Co-occurrence
P-0002452	AMP	MDM4	1q32.1	37 (5.06%)	36 (2.06%)	1.29	9.523E-05	3.762E-03	Co-occurrence
P-0002452	AMP	ETV1	7p21.2	17 (2.33%)	10 (0.57%)	2.02	3.01E-04	0.0102	Co-occurrence
P-0002452	AMP	DCUN1D1	3q26.33	6 (0.82%)	0 (0.00%)	>10	6.543E-04	0.0194	Co-occurrence
P-0002386	MUT	EGFR	7p11.2	111 (8.33%)	251 (21.96%)	-1.4	5.78E-22	3.99E-19	Mutual exclusivity
P-0002386	MUT	CIC	19q13.2	113 (8.48%)	15 (1.31%)	2.69	1.09E-17	3.75E-15	Co-occurrence
P-0002386	MUT	BRAF	7q34	25 (1.88%)	105 (9.19%)	-2.29	9.46E-17	2.18E-14	Mutual exclusivity
P-0002386	MUT	PTEN	10q23.31	218 (16.37%)	317 (27.73%)	-0.76	5.28E-12	9.11E-10	Mutual exclusivity
P-0002386	MUT	RB1	13q14.2	129 (9.68%)	41 (3.59%)	1.43	6.83E-10	9.42E-08	Co-occurrence
P-0002386	MUT	FUBP1	1p31.1	37 (2.78%)	2 (0.17%)	3.99	1.51E-08	1.741E-06	Co-occurrence
P-0002386	MUT	H3F3B	17q25.1	44 (3.30%)	7 (0.61%)	2.43	7.28E-07	7.181E-05	Co-occurrence
P-0002386	MUT	MSH2	2p21-p16.3	37 (2.78%)	5 (0.44%)	2.67	1.964E-06	1.64E-04	Co-occurrence
P-0002386	MUT	ATR	3q23	25 (1.88%)	1 (0.09%)	4.42	2.139E-06	1.64E-04	Co-occurrence
P-0002386	MUT	MSH6	2p16.3	41 (3.08%)	8 (0.70%)	2.14	9.258E-06	6.255E-04	Co-occurrence
P-0002386	MUT	NOTCH1	9q34.3	93 (6.98%)	36 (3.15%)	1.15	9.972E-06	6.255E-04	Co-occurrence
P-0002386	MUT	ERCC4	16p13.12	22 (1.65%)	1 (0.09%)	4.24	1.249E-05	7.182E-04	Co-occurrence
P-0002386	MUT	SMARCA4	19p13.2	52 (3.90%)	14 (1.22%)	1.67	1.798E-05	9.543E-04	Co-occurrence
P-0002386	MUT	XPO1	2p15	21 (1.58%)	1 (0.09%)	4.17	2.24E-05	1.033E-03	Co-occurrence
P-0002386	MUT	KMT2C	7q36.1	27 (2.03%)	3 (0.26%)	2.95	2.246E-05	1.033E-03	Co-occurrence
P-0002386	MUT	ALK	2p23.2-p23.1	41 (3.08%)	9 (0.79%)	1.97	2.488E-05	1.073E-03	Co-occurrence
P-0002386	MUT	ARID1A	1p36.11	70 (5.26%)	25 (2.19%)	1.26	4.073E-05	1.653E-03	Co-occurrence
P-0002386	MUT	KMT2D	12q13.12	82 (6.16%)	33 (2.89%)	1.09	6.624E-05	2.539E-03	Co-occurrence
P-0002386	MUT	NOTCH4	6p21.32	19 (1.43%)	1 (0.09%)	4.03	7.158E-05	2.6E-03	Co-occurrence
P-0002386	MUT	INSR	19p13.2	15 (1.13%)	0 (0.00%)	>10	8.872E-05	3.028E-03	Co-occurrence
P-0002386	MUT	TERT	5p15.33	349 (26.20%)	379 (33.16%)	-0.34	9.215E-05	3.028E-03	Mutual exclusivity
P-0002386	MUT	CDC73	1q31.2	24 (1.80%)	3 (0.26%)	2.78	1.078E-04	3.382E-03	Co-occurrence
P-0002386	MUT	NOTCH3	19p13.12	31 (2.33%)	6 (0.52%)	2.15	1.176E-04	3.527E-03	Co-occurrence
P-0002386	MUT	PDGFRB	5q32	26 (1.95%)	4 (0.35%)	2.48	1.393E-04	4.005E-03	Co-occurrence
P-0002386	MUT	DNMT1	19p13.2	14 (1.05%)	0 (0.00%)	>10	1.657E-04	4.572E-03	Co-occurrence
P-0002386	MUT	ARID2	12q12	48 (3.60%)	15 (1.31%)	1.46	1.772E-04	4.702E-03	Co-occurrence
P-0002386	MUT	TET2	4q24	45 (3.38%)	14 (1.22%)	1.46	2.721E-04	6.955E-03	Co-occurrence
P-0002386	MUT	BCOR	Xp11.4	46 (3.45%)	15 (1.31%)	1.4	3.683E-04	9.076E-03	Co-occurrence
P-0002386	MUT	SDHA	5p15.33	21 (1.58%)	3 (0.26%)	2.59	4.978E-04	0.0114	Co-occurrence
P-0002386	MUT	TSC1	9q34.13	21 (1.58%)	3 (0.26%)	2.59	4.978E-04	0.0114	Co-occurrence
P-0002386	MUT	ATM	11q22.3	62 (4.65%)	25 (2.19%)	1.09	5.418E-04	0.0121	Co-occurrence
P-0002386	MUT	LATS1	6q25.1	12 (0.90%)	0 (0.00%)	>10	5.77E-04	0.0124	Co-occurrence
